Client Number,Business Name,First Name,Last Name,Phone,Address,City,State,Zip
MD6304,SUPER BEAUTY,Paul,,301-499-5400,6304 CENTRAL AVE, SEAT PLEASANT,MD,20743
MD7778,SUPER BEAUTY,Paul,,301-583-8705,7778B LANDOVER RD, HYATTSVILLE,MD,20785
MD7780,THE HAIR DEPOT ONE LLC,Sufian Shaibi,,240-563-1215,7780 MARLBORO PIKE, FORESTVILLE,MD,20747
MI20240,BEAUTY PLUS,Morad Naser,,313-977-9900,20240 SEVEN MILE W, DETROIT,MI,48219
MI7746,Kay beauty supply (MI7746),Ilyas,,,7746 Wyoming ave,Dearborn,MI,48126
MI13939,Sapphire beauty supply (MI13939),Ahmad,,3133409951,13939 livernois ave,Detroit,MI,48238
MI3717,M & A BEAUTY SUPPLY (MI3717),Askar,,,3717 Fenton rd,Flint,MI,48507
MI744,Unique fashion & beauty (MI744),Omar,,,744 N westnedge ave,Kalamazoo,MI,49007
MI19045,Jin wig & beauty supply (MI19045),Jin,,,19045 middlebelt rd,Livonia,MI,48152
MI27155,Crown jewel beauty supply (MI27155),,,,27155 greenfield rd,Southfield,MI,48076
MI35150,Beauty central (MI35150,Michale,,,35150 central city pkwy,Westland,MI,48185
NY110,BEAUTY FEEL SUPPLY,,,110 E 170TH ST, BRONX,NY,10452
NY853,MOON BEAUTY SUPPLY,Galal Mehdi,,718-495-9803,853 UTICA AVE, BROOKLYN,NY,11203
NY2245,HAIR QUE,Mohamed,,716-259-9698,2245 DELAWARE AVE, BUFFALO,NY,14216
NY427,EVE HAIR & BEAUTY SUPPLY,,,716-877-4780,427 TONAWANDA ST, BUFFALO,NY,14207
NY1115,HAIR GALLERIA,,,585-445-8068,1115 HUDSON AVE, ROCHESTER,NY,14621
NY426,LAVISH BEAUTY SUPPLY,Sharaf Shaibi,,585-254-0760,426 LYELL AVE, ROCHESTER,NY,14606
NY101,LUX BEAUTY SUPPLY,Wadih Yamak,,315-991-8378,101 E SENECA TURNPIKE, SYRACUSE,NY,13205
PA220,Modern Hair Beauty Supply,,,412-891-6338,220 Brownsville Road,Mount Oliver,PA,15210
PA10740,Hair World PA,Ali Hussein,,(412) 385-9566,10740 Frankstown Road,Penn Hills Township,PA,15235
PA2140,Elegant Beauty 1,Salih,,(412) 227-0200,2140 Wylie Avenue,Pittsburgh,PA,15219
PA723,Hair Land&fashion,,,(412) 243-3000,723 Penn Avenue,Pittsburgh,PA,15221
PA533,Queen's hair and beauty supplies,Mohamed,,(412) 708-9526,533 East Ohio Street,Pittsburgh,PA,15212
PA6113,Sky's the Limit Hair and Beauty Supply,AbuMurad,,(412) 441-5500,6113 Broad Street,Pittsburgh,PA,15206
PA1763,The Hair Depot PA,Rasheed Taher,,(412) 533-9944,1763 South Braddock Avenue,Pittsburgh,PA,15218
VA1459,FABULOUS BEAUTY SUPPLY 2,Mohamed,,434-228-7283,1459 SOUTH BOSTON RD, DANVILLE,VA,24540
VA9550,BEAUTY PALACE & SUPPLIES,Hannah,,571-359-6821,9550 LIBERIA AVE, MANASSAS,VA,20110
VA23,HAIR GALLERIA,Yakub,,757-782-2752,23 NEWMARKET SQUARE, NEWPORT NEWS,VA,23605
VA2330,BEAUTY MASTER,Hani,,757-393-7497,2330 PORTSMOUTH BLVD, PORTSMOUTH,VA,23704
VA3041,THE HAIR PALACE,Salem,,804-728-3807,3041 MECHANICSVILLE TPKE, RICHMOND,VA,23223
VA449,HAIR PALACE SOUTHDISE INC,Sufian Shaibi,,804-840-2928,449 E BELT BLVD STE F, RICHMOND,VA,23224
VA443,The hair palace south side (VA443),,,,443 e belt blvd,Richmond,VA,23224
VA6537,LUX BEAUTY,Rami,,757-937-6306,6537 COLLEGE PARK SQUARE,VIRGINIA BEACH,VA,23464
DC2847,NUMBER 1 BEAUTY SUPPLY,,,202-780-8852,2847 ALABAMA AVE SE, WASHINGTON,DC,20020
