client_name,client_state,client_city,display_date,last_order_date,total_orders,days_since_display,refill_status,nose_display,earring_display,anklet_display,bracelet_display,necklace_display,display_value,last_visit_date,last_visit_notes,no_purchase_reason,notes
"Sapphire beauty supply (MI13939)",MI,Detroit,2025-08-08,2026-01-27,3,238.0,REFILLING,1890.0,873.0,864.0,0.0,1036.8,4663.8,"","","",""
"Hair Oasis",OH,Toledo,2025-08-09,2026-01-29,2,237.0,REFILLING,1125.0,485.0,864.0,0.0,336.0,2810.0,"","","",""
"MAX BEAUTY SUPPLY",OH,Cleveland,2025-08-09,2025-10-18,2,237.0,REFILLING,0.0,485.0,0.0,0.0,222.0,707.0,"","","",""
"A & A Beauty Supply",OH,Akron,2025-08-10,2025-10-20,2,236.0,REFILLING,621.47,0.0,864.0,1166.55,710.96,3362.98,"","","",""
"George Hair & Beauty Supply",OH,Cleveland,2025-08-10,2026-02-01,3,236.0,REFILLING,403.0,0.0,0.0,0.0,1036.8,1439.8,"","","",""
"Hair World Canton",OH,Canton,2025-08-10,2025-08-10,1,236.0,OVERDUE,0.0,0.0,864.0,0.0,0.0,864.0,"","","",""
"Hana's Beauty Supply",OH,"Garfield Heights",2025-08-11,2025-10-18,2,235.0,REFILLING,500.0,485.0,0.0,0.0,0.0,985.0,"","","",""
"Magic Hair & Beauty",OH,"Maple Heights",2025-08-11,2025-10-17,2,235.0,REFILLING,716.0,485.0,0.0,0.0,432.0,1633.0,"","","",""
"Remy Touch Hair & Beauty Supply",OH,Euclid,2025-08-11,2025-10-19,2,235.0,REFILLING,0.0,0.0,0.0,0.0,672.0,672.0,"","","",""
"Diamond hair & beauty",OH,"Warrensville Heights",2025-08-12,2025-08-12,1,234.0,OVERDUE,0.0,0.0,864.0,0.0,0.0,864.0,"","","",""
"Longwood Plus",OH,Cleveland,2025-08-12,2025-08-12,1,234.0,OVERDUE,0.0,0.0,824.15,0.0,320.5,1144.65,"","","",""
"Impress Beauty Outlet",OH,Whitehall,2025-08-13,2026-02-07,4,233.0,REFILLING,560.25,465.0,780.0,450.7,1103.82,3359.78,"","","",""
"Malik's Beauty Supplies",OH,Cleveland,2025-08-13,2025-08-13,1,233.0,OVERDUE,0.0,0.0,0.0,0.0,336.0,336.0,"","","",""
"One Beauty Supply",OH,Cleveland,2025-08-13,2025-08-13,1,233.0,OVERDUE,0.0,0.0,864.0,0.0,0.0,864.0,"","","",""
"Unique Beauty Supply Kinsman Rd",OH,Cleveland,2025-08-13,2025-08-13,1,233.0,OVERDUE,0.0,0.0,0.0,0.0,336.0,336.0,"","","",""
"Divas Hair And Beauty",OH,Reynoldsburg,2025-08-14,2025-08-14,1,232.0,OVERDUE,0.0,0.0,825.67,0.0,276.18,1101.84,"","","",""
"Hair saga",OH,Trotwood,2025-08-17,2025-08-17,1,229.0,OVERDUE,0.0,0.0,864.0,0.0,336.0,1200.0,"","","",""
"Famous hair beauty supply #2",KENTUCKY,Louisville,2025-08-18,2025-08-18,1,228.0,OVERDUE,0.0,0.0,864.0,0.0,0.0,864.0,"","","",""
"Jim dandy beauty supply",KENTUCKY,Louisville,2025-08-18,2025-08-18,1,228.0,OVERDUE,0.0,0.0,864.0,0.0,336.0,1200.0,"","","",""
"Hollywood beauty supply 3 (IL1645)",IL,"East Saint Louis ",2025-08-19,2025-08-19,1,227.0,OVERDUE,0.0,485.0,864.0,0.0,336.0,1685.0,"","","",""
"Hollywood beauty supply 5",Missouri,"Saint Louis ",2025-08-19,2025-11-05,2,227.0,REFILLING,50.0,545.0,0.0,518.4,345.6,1459.0,"","","",""
"Images beauty supply 3",IL,Belleville,2025-08-19,2025-08-19,1,227.0,OVERDUE,0.0,0.0,832.43,0.0,323.72,1156.15,"","","",""
"Icon beauty 2 (MO7751)",MO,"Hazelwood ",2025-08-21,2025-08-21,1,225.0,OVERDUE,0.0,523.8,0.0,0.0,1512.0,2035.8,"","","",""
"Beauty mania & more (AR5411) ",AR,"Pine bluff ",2025-08-23,2025-08-23,1,223.0,OVERDUE,0.0,485.0,864.0,0.0,336.0,1685.0,"","","",""
"Beauty & beyond (TX3330)",TX,"Mesquite ",2025-08-24,2025-08-24,1,222.0,OVERDUE,0.0,388.0,691.2,0.0,268.8,1348.0,"","","",""
"SUPREME HAIR & BEAUTY",TEXAS,DALLAS,2025-08-25,2026-02-16,4,221.0,REFILLING,1826.9,0.0,0.0,0.0,1577.5,3404.4,"","","",""
"DOLLAR MANIA",LOUISIANA,SHREVEPORT,2025-08-27,2025-11-10,3,219.0,REFILLING,0.0,0.0,1600.0,768.0,384.0,2752.0,"","","",""
"BEAUTY ZONE BEAUTY SUPPLY",MS,CLINTON,2025-08-29,2025-08-29,1,217.0,OVERDUE,0.0,0.0,0.0,0.0,600.0,600.0,"","","",""
"BEAUTY TRENDZ TRUSSVILLE-BEAUTY SUPPLY",AL,BIRMIGHAM,2025-08-30,2025-12-26,2,216.0,REFILLING,0.0,0.0,777.6,94.0,0.0,871.6,"","","",""
"DISCOUNT BEAUTY OUTLET",AL,TUSCALOOSA,2025-08-30,2025-08-30,1,216.0,OVERDUE,0.0,423.67,0.0,0.0,0.0,423.67,"","","",""
"5 STAR BEAUTY",GEORGIA,"WARNER ROBINS",2025-09-01,2025-12-22,8,214.0,REFILLING,2143.0,1527.75,2332.8,89.46,993.6,7086.61,"","","",""
"GLAMOUR BEAUTY SUPPLY",CAROLINA,BEAUFORT,2025-09-03,2025-12-04,3,212.0,REFILLING,716.0,0.0,1944.0,0.0,1488.0,4148.0,"","","",""
"Beauty master center ( SC4950)",SC,"North Charleston ",2025-09-04,2025-09-04,1,211.0,OVERDUE,0.0,0.0,750.0,0.0,0.0,750.0,"","","",""
"New York Beauty & Fashion",SC,SUMMERVILLE,2025-09-04,2025-09-04,1,211.0,OVERDUE,0.0,0.0,864.0,0.0,0.0,864.0,"","","",""
"HAIR GLOBAL AUGUSTA",GEORGIA,AUGUSTA,2025-09-05,2025-09-05,2,210.0,REFILLING,0.0,436.5,1555.2,0.0,302.4,2294.1,"","","",""
"BLACK STAR BEAUTY SUPPLY 2","N. CAROLINA","HIGH POINT",2025-09-06,2025-09-06,1,209.0,OVERDUE,0.0,0.0,800.0,0.0,0.0,800.0,"","","",""
"THE BEAUTY DEPOT","N. CAROLINA",KANNAPOLIS&CONCORD,2025-09-06,2025-09-06,1,209.0,OVERDUE,0.0,412.25,864.0,0.0,0.0,1276.25,"","","",""
"Crown jewel beauty supply (MI27155)",MI,"Southfield ",2025-10-14,2026-01-27,2,171.0,REFILLING,0.0,250.0,0.0,576.0,582.0,1408.0,"","","",""
