client_name,client_state,invoice_count,total_sales,avg_invoice,total_paid,total_due
5 STAR BEAUTY,GEORGIA,9,10555.15,1172.79,9565.15,990.00
Impress Beauty Outlet,OH,8,9548.00,1193.50,6787.00,2761.00
Sapphire beauty supply (MI13939),MI,4,9543.80,2385.95,4136.00,5407.80
SUPREME HAIR & BEAUTY,TEXAS,12,7927.40,660.62,7399.40,528.00
A & A Beauty Supply,OH,5,6826.50,1365.30,6034.50,792.00
The Hair Palace,OH,4,6451.00,1612.75,2838.00,3613.00
DIAMOND BEAUTY SUPPLY #3,LOUISIANA,1,6346.00,6346.00,6346.00,0.00
Colosseum beauty supply (MI26439),MI ,1,5564.00,5564.00,0.00,5564.00
BUNDLES N WIGS,KENTUCKY,2,5456.00,2728.00,5456.00,0.00
A & A Beauty Supply Akron,OH,6,5451.75,908.62,5451.75,0.00
Danny’s Hair & Beauty,OH,5,5249.80,1049.96,3726.80,1523.00
Danny’s Hair & Beauty Supply Lakeshore,OH,3,5067.42,1689.14,5067.42,0.00
Hair Oasis,OH,2,4961.00,2480.50,4961.00,0.00
BEAUTY QUEEN 98C STORE,GEORGIA,6,4545.70,757.62,4545.70,0.00
Infinity 99 Center Store,OH,4,4467.05,1116.76,3736.50,730.55
Crown jewel beauty supply (MI27155),MI,2,4462.50,2231.25,828.00,3634.50
Hollywood beauty supply 5,Missouri,6,4247.00,707.83,4247.00,0.00
GLAMOUR BEAUTY SUPPLY,CAROLINA,3,4148.00,1382.67,4148.00,0.00
Diva Beauty Supply IN,IN,3,4147.40,1382.47,3547.40,600.00
Danny's Hair & Beauty Supply,OH,6,3916.50,652.75,2854.50,1062.00
IBERIA HAIR AND BEAUTY SUPPLY,LOUISIANA,6,3881.00,646.83,3593.00,288.00
Hair and Beauty Depot - Fort Wayne,IN,2,3820.00,1910.00,3820.00,0.00
Longwood Plus,OH,5,3806.00,761.20,2408.00,1398.00
MAX BEAUTY SUPPLY,OH,4,3417.00,854.25,3417.00,0.00
Beauty connection (OH691),OH,2,3384.00,1692.00,0.00,3384.00
FAMOUS HAIR BEAUTY SUPPLY,KENTUCKY,3,3348.20,1116.07,3348.20,0.00
DOLLAR MANIA,LOUISIANA,6,3346.00,557.67,3346.00,0.00
Icon beauty 2 (MO7751),MO,3,3225.10,1075.03,0.00,3225.10
Remy Touch Hair & Beauty Supply,OH,4,3192.00,798.00,3192.00,0.00
Supreme Hair Depot,IN,2,3181.50,1590.75,3181.50,0.00
Hana's Beauty Supply,OH,4,3163.00,790.75,3163.00,0.00
