state,invoice_count,unique_clients,total_sales,avg_invoice
OH,113,44,105331.22,932.13
GEORGIA,30,12,28567.95,952.26
MI,13,7,20861.30,1604.72
N. CAROLINA,16,13,20301.40,1268.84
IN,16,9,18689.90,1168.12
LOUISIANA,20,9,16973.75,848.69
KENTUCKY,15,8,16026.55,1068.44
AL,16,13,11521.60,720.10
TEXAS,15,3,10823.40,721.56
NC,9,7,8565.40,951.71
IL,8,6,7897.00,987.13
CAROLINA,5,3,7735.00,1547.00
VA,6,4,7407.80,1234.63
AR,10,7,6958.00,695.80
ALABAMA,6,5,6175.00,1029.17
Missouri,9,3,6131.00,681.22
SC,4,4,5982.00,1495.50
MISSOURI,5,4,5663.15,1132.63
MI ,1,1,5564.00,5564.00
TX,6,5,5536.40,922.73
MO,7,3,4873.10,696.16
GA,3,2,3217.00,1072.33
Missouri ,3,1,2938.00,979.33
PA,1,1,1456.00,1456.00
MS,2,2,1026.00,513.00
TN,1,1,420.00,420.00
LA,1,1,360.00,360.00
