invoice_no,client_id,client_name,client_state,client_city,date,due_date,payment_status,discount_amount,subtotal,tax_amount,total,paid_amount,balance_due,status
000352,34,Impress Beauty Outlet,OH,Whitehall,2026-03-03,2026-03-03,0,None,814.0,None,814.0,0.0,814.0,None
000353,373,IBERIA HAIR AND BEAUTY SUPPLY,LOUISIANA,NEW IBERIA & MORGAN,2026-03-03,2026-03-03,0,None,288.0,None,288.0,0.0,288.0,None
000354,775,Beauty connection (OH691),OH,Columbus,2026-03-03,2026-03-03,0,None,572.0,None,572.0,0.0,572.0,None
000355,80,SUPREME HAIR & BEAUTY,TEXAS,DALLAS,2026-03-03,2026-03-03,0,None,528.0,None,528.0,0.0,528.0,None
000350,69,Hair galleria (MO10940),MO,Saint Louis ,2026-03-01,2026-03-01,0,None,384.0,None,384.0,0.0,384.0,None
000351,58,Sapphire beauty supply (MI13939),MI,Detroit,2026-03-01,2026-03-01,0,None,727.0,None,727.0,0.0,727.0,None
000348,183,PRINCE BEAUTY SUPPLY,MISSOURI,SAINT LOUIS,2026-02-28,2026-02-28,0,None,451.0,None,451.0,0.0,451.0,None
000349,761,Hunts Beauty Supply Elkhart,IN,Elkhart,2026-02-28,2026-02-28,0,None,660.0,None,660.0,0.0,660.0,None
000347,681,Danny's Hair & Beauty Supply,OH,Cleveland,2026-02-17,2026-02-17,0,None,462.0,None,462.0,0.0,462.0,None
000340,741,Diva Beauty Supply IN,IN,Fort Wayne,2026-02-16,2026-02-16,0,None,600.0,None,600.0,0.0,600.0,None
000341,1,Longwood Plus,OH,Cleveland,2026-02-16,2026-02-16,0,None,1200.0,None,1200.0,0.0,1200.0,None
000342,112,BEAUTY TRENDZ TRUSSVILLE-BEAUTY SUPPLY,AL,BIRMIGHAM,2026-02-16,2026-02-16,0,None,550.0,None,550.0,0.0,550.0,None
000343,373,IBERIA HAIR AND BEAUTY SUPPLY,LOUISIANA,NEW IBERIA & MORGAN,2026-02-16,2026-02-16,2,None,216.0,None,216.0,216.0,0.0,None
000344,80,SUPREME HAIR & BEAUTY,TEXAS,DALLAS,2026-02-16,2026-02-16,2,None,1478.5,None,1478.5,1478.5,0.0,None
000345,774,Unique beauty supply (IN2304),IN,South bend,2026-02-16,2026-02-16,0,None,759.0,None,759.0,0.0,759.0,None
000346,773,Unique fashion & beauty (MI744),MI,Kalmazoo,2026-02-16,2026-02-16,0,None,671.0,None,671.0,0.0,671.0,None
000338,53,Hollywood beauty supply 5,Missouri,Saint Louis ,2026-02-12,2026-02-12,2,None,726.0,None,726.0,726.0,0.0,None
000339,183,PRINCE BEAUTY SUPPLY,MISSOURI,SAINT LOUIS,2026-02-12,2026-02-12,0,None,2172.0,None,2172.0,0.0,2172.0,None
000336,717,Supreme Hair Depot,IN,Indianapolis,2026-02-11,2026-02-11,2,None,1413.0,None,1413.0,1413.0,0.0,None
000337,40,Princess Beauty & Hair Supply Dayton,OH,Dayton,2026-02-11,2026-02-11,2,None,798.0,None,798.0,798.0,0.0,None
000333,777,Mila beauty supply (OH3441) ,OH,Cincinnati ,2026-02-10,2026-02-10,2,None,2160.9,None,2160.9,2160.9,0.0,None
